motif_name	tf
At1g74840(MYBrelated)/col100-At1g74840-DAP-Seq(GSE60143)/Homer	At1g74840
Bach2(bZIP)/OCILy7-Bach2-ChIP-Seq(GSE44420)/Homer	BACH2
At4g18890(BZR)/col-At4g18890-DAP-Seq(GSE60143)/Homer	At4g18890
AT3G51470(DBP)/col-AT3G51470-DAP-Seq(GSE60143)/Homer	AT3G51470
At4g31060(AP2EREBP)/colamp-At4g31060-DAP-Seq(GSE60143)/Homer	At4g31060
AP-2alpha(AP2)/Hela-AP2alpha-ChIP-Seq(GSE31477)/Homer	TFAP2A
CRX(Homeobox)/Retina-Crx-ChIP-Seq(GSE20012)/Homer	CRX
ATHB13(Homeobox)/col-ATHB13-DAP-Seq(GSE60143)/Homer	ATHB13
ATHB53(HB)/col-ATHB53-DAP-Seq(GSE60143)/Homer	ATHB53
ERF5(AP2EREBP)/colamp-ERF5-DAP-Seq(GSE60143)/Homer	ERF5
At2g44940(AP2EREBP)/colamp-At2g44940-DAP-Seq(GSE60143)/Homer	At2g44940
DEAR2(AP2EREBP)/colamp-DEAR2-DAP-Seq(GSE60143)/Homer	DEAR2
ELF3(ETS)/PDAC-ELF3-ChIP-Seq(GSE64557)/Homer	ELF3
AP-2gamma(AP2)/MCF7-TFAP2C-ChIP-Seq(GSE21234)/Homer	TFAP2C
AT5G61620(MYBrelated)/colamp-AT5G61620-DAP-Seq(GSE60143)/Homer	AT5G61620
AMYB(HTH)/Testes-AMYB-ChIP-Seq(GSE44588)/Homer	MYBL1
CEJ1(AP2EREBP)/col-CEJ1-DAP-Seq(GSE60143)/Homer	CEJ1
Ascl1(bHLH)/NeuralTubes-Ascl1-ChIP-Seq(GSE55840)/Homer	ASCL1
LMI1(HB)/colamp-LMI1-DAP-Seq(GSE60143)/Homer	LMI1
CRC(C2C2YABBY)/col-CRC-DAP-Seq(GSE60143)/Homer	CRC
USF1(bHLH)/GM12878-Usf1-ChIP-Seq(GSE32465)/Homer	USF1
Hoxa10(Homeobox)/ChickenMSG-Hoxa10.Flag-ChIP-Seq(GSE86088)/Homer	HOXA10
CREB5(bZIP)/LNCaP-CREB5.V5-ChIP-Seq(GSE137775)/Homer	CREB5
AtIDD11(C2H2)/colamp-AtIDD11-DAP-Seq(GSE60143)/Homer	AtIDD11
HLH-1(bHLH)/cElegans-Embryo-HLH1-ChIP-Seq(modEncode)/Homer	HLH-1
ABI5(bZIP)/col-ABI5-DAP-Seq(GSE60143)/Homer	ABI5
Etv2(ETS)/ES-ER71-ChIP-Seq(GSE59402)/Homer	ETV2
ELF5(ETS)/T47D-ELF5-ChIP-Seq(GSE30407)/Homer	ELF5
At1g13300(G2like)/col-At1g13300-DAP-Seq(GSE60143)/Homer	At1g13300
AS2(LOBAS2)/col-AS2-DAP-Seq(GSE60143)/Homer	AS2
BMYB(HTH)/Hela-BMYB-ChIP-Seq(GSE27030)/Homer	MYBL2
Ascl2(bHLH)/ESC-Ascl2-ChIP-Seq(GSE97712)/Homer	ASCL2
At1g22810(AP2EREBP)/colamp-At1g22810-DAP-Seq(GSE60143)/Homer	At1g22810
SGR5(C2H2)/colamp-SGR5-DAP-Seq(GSE60143)/Homer	SGR5
FHY3(FAR1)/Arabidopsis-FHY3-ChIP-Seq(GSE30711)/Homer	FHY3
Pbx3(Homeobox)/GM12878-PBX3-ChIP-Seq(GSE32465)/Homer	PBX3
Bach1(bZIP)/K562-Bach1-ChIP-Seq(GSE31477)/Homer	BACH1
MYRF(MYRF)/CFPAC1-MYRF-ChIP-Seq(GSE145627)/Homer	MYRF
At1g14580(C2H2)/colamp-At1g14580-DAP-Seq(GSE60143)/Homer	At1g14580
AT3G60490(AP2EREBP)/colamp-AT3G60490-DAP-Seq(GSE60143)/Homer	AT3G60490
E-box/Arabidopsis-Promoters/Homer	E-box/Arabidopsis-Promoters/Homer
CTCF-SatelliteElement(Zf?)/CD4+-CTCF-ChIP-Seq(Barski_et_al.)/Homer	CTCF
Tal1	Tal1
Brachyury(T-box)/Mesoendoderm-Brachyury-ChIP-exo(GSE54963)/Homer	T
Rfx6(HTH)/Min6b1-Rfx6.HA-ChIP-Seq(GSE62844)/Homer	RFX6
ANAC046(NAC)/colamp-ANAC046-DAP-Seq(GSE60143)/Homer	ANAC046
SVP(MADS)/col-SVP-DAP-Seq(GSE60143)/Homer	SVP
Fra1(bZIP)/BT549-Fra1-ChIP-Seq(GSE46166)/Homer	FOSL1
Arnt:Ahr(bHLH)/MCF7-Arnt-ChIP-Seq(Lo_et_al.)/Homer	ARNT
ZNF7(Zf)/HepG2-ZNF7.Flag-ChIP-Seq(Encode)/Homer	ZNF7
AT3G10030(Trihelix)/colamp-AT3G10030-DAP-Seq(GSE60143)/Homer	AT3G10030
DEL2(E2FDP)/col-DEL2-DAP-Seq(GSE60143)/Homer	DEL2
GATA14(C2C2gata)/col-GATA14-DAP-Seq(GSE60143)/Homer	GATA14
bHLH10(bHLH)/colamp-bHLH10-DAP-Seq(GSE60143)/Homer	bHLH10
RUNX(Runt)/HPC7-Runx1-ChIP-Seq(GSE22178)/Homer	RUNX1
RORa(NR)/Liver-Rora-ChIP-Seq(GSE101115)/Homer	RORA
ANAC079(NAC)/colamp-ANAC079-DAP-Seq(GSE60143)/Homer	ANAC079
NLP7(RWPRK)/col-NLP7-DAP-Seq(GSE60143)/Homer	NLP7
DEAR5(AP2EREBP)/col-DEAR5-DAP-Seq(GSE60143)/Homer	DEAR5
MYB98(MYB)/col-MYB98-DAP-Seq(GSE60143)/Homer	MYB98
ABR1(AP2EREBP)/colamp-ABR1-DAP-Seq(GSE60143)/Homer	ABR1
CBF3(AP2EREBP)/colamp-CBF3-DAP-Seq(GSE60143)/Homer	CBF3
Pknox1(Homeobox)/ES-Prep1-ChIP-Seq(GSE63282)/Homer	PKNOX1
MYNN(Zf)/HEK293-MYNN.eGFP-ChIP-Seq(Encode)/Homer	MYNN
PAX6(Paired,Homeobox)/Forebrain-Pax6-ChIP-Seq(GSE66961)/Homer	PAX6
HIF-1b(HLH)/T47D-HIF1b-ChIP-Seq(GSE59937)/Homer	HIF1B
NRF1(NRF)/MCF7-NRF1-ChIP-Seq(Unpublished)/Homer	NRF1
ZBTB12(Zf)/HEK293-ZBTB12.GFP-ChIP-Seq(GSE58341)/Homer	ZBTB12
Lhx6/Neurons-Lhx6-ChIP-seq(GSE85704)/Homer	LHX6
EHF(ETS)/LoVo-EHF-ChIP-Seq(GSE49402)/Homer	EHF
RAP211(AP2EREBP)/colamp-RAP211-DAP-Seq(GSE60143)/Homer	RAP211
ERF11(AP2EREBP)/col-ERF11-DAP-Seq(GSE60143)/Homer	ERF11
AtHB32(ZFHD)/col200-AtHB32-DAP-Seq(GSE60143)/Homer	AtHB32
Unknown3/Arabidopsis-Promoters/Homer	Unknown3/Arabidopsis-Promoters
GATA20(C2C2gata)/colamp-GATA20-DAP-Seq(GSE60143)/Homer	GATA20
AT2G38300(G2like)/col-AT2G38300-DAP-Seq(GSE60143)/Homer	AT2G38300
DDF1(AP2EREBP)/col-DDF1-DAP-Seq(GSE60143)/Homer	DDF1
EBF1(EBF)/Near-E2A-ChIP-Seq(GSE21512)/Homer	EBF1
AT1G20910(ARID)/col-AT1G20910-DAP-Seq(GSE60143)/Homer	AT1G20910
NUC(C2H2)/col-NUC-DAP-Seq(GSE60143)/Homer	NUC
WT1(Zf)/Kidney-WT1-ChIP-Seq(GSE90016)/Homer	WT1
CBF2(AP2EREBP)/colamp-CBF2-DAP-Seq(GSE60143)/Homer	CBF2
CLOCK(bHLH)/Liver-Clock-ChIP-Seq(GSE39860)/Homer	CLOCK
c-Jun-CRE(bZIP)/K562-cJun-ChIP-Seq(GSE31477)/Homer	JUN
SCRT1(Zf)/HEK293-SCRT1.eGFP-ChIP-Seq(Encode)/Homer	SCRT1
GATA:SCL(Zf,bHLH)/Ter119-SCL-ChIP-Seq(GSE18720)/Homer	GATA1
MYB65(MYB)/colamp-MYB65-DAP-Seq(GSE60143)/Homer	MYB65
TATA-box/SacCer-Promoters/Homer	TATA-box/SacCer-Promoters/Homer
At1g19000(MYBrelated)/colamp-At1g19000-DAP-Seq(GSE60143)/Homer	At1g19000
GATA12(C2C2gata)/col-GATA12-DAP-Seq(GSE60143)/Homer	GATA12
Dorsal(RHD)/Embryo-dl-ChIP-Seq(GSE65441)/Homer	Dorsal
FXR(NR),IR1/Liver-FXR-ChIP-Seq(Chong_et_al.)/Homer	NR1H4
NFkB2-p52(RHD)/U266-NFKB2-ChIP-seq(GSE230466)/Homer	NFKB2
NFkB-p65-Rel(RHD)/ThioMac-LPS-Expression(GSE23622)/Homer	RELA
MYB(HTH)/ERMYB-Myb-ChIPSeq(GSE22095)/Homer	MYB
AT1G77200(AP2EREBP)/colamp-AT1G77200-DAP-Seq(GSE60143)/Homer	AT1G77200
KLF10(Zf)/HEK293-KLF10.GFP-ChIP-Seq(GSE58341)/Homer	KLF10
CArG(MADS)/PUER-Srf-ChIP-Seq(Sullivan_et_al.)/Homer	SRF
Rap210(AP2EREBP)/col-Rap210-DAP-Seq(GSE60143)/Homer	Rap210
At1g19210(AP2EREBP)/colamp-At1g19210-DAP-Seq(GSE60143)/Homer	At1g19210
Atf3(bZIP)/GBM-ATF3-ChIP-Seq(GSE33912)/Homer	ATF3
RAP26(AP2EREBP)/colamp-RAP26-DAP-Seq(GSE60143)/Homer	RAP26
IDD7(C2H2)/col-IDD7-DAP-Seq(GSE60143)/Homer	IDD7
GATA6(C2C2gata)/col200-GATA6-DAP-Seq(GSE60143)/Homer	GATA6
Cdx2(Homeobox)/mES-Cdx2-ChIP-Seq(GSE14586)/Homer	CDX2
RORg(NR)/Liver-Rorc-ChIP-Seq(GSE101115)/Homer	RORC
bZIP68(bZIP)/col-bZIP68-DAP-Seq(GSE60143)/Homer	bZIP68
Fos(bZIP)/TSC-Fos-ChIP-Seq(GSE110950)/Homer	FOS
PU.1-IRF(ETS:IRF)/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	SPI1
At1g49010(MYBrelated)/col-At1g49010-DAP-Seq(GSE60143)/Homer	At1g49010
Fra2(bZIP)/Striatum-Fra2-ChIP-Seq(GSE43429)/Homer	FOSL2
Sox3(HMG)/NPC-Sox3-ChIP-Seq(GSE33059)/Homer	SOX3
dof45(C2C2dof)/col-dof45-DAP-Seq(GSE60143)/Homer	dof45
Rfx5(HTH)/GM12878-Rfx5-ChIP-Seq(GSE31477)/Homer	RFX5
ERF115(AP2EREBP)/colamp-ERF115-DAP-Seq(GSE60143)/Homer	ERF115
ZNF136(Zf)/HEK293-ZNF136.GFP-ChIP-Seq(GSE58341)/Homer	ZNF136
RKD2(RWPRK)/colamp-RKD2-DAP-Seq(GSE60143)/Homer	RKD2
RAP21(AP2EREBP)/colamp-RAP21-DAP-Seq(GSE60143)/Homer	RAP21
NFkB-p65(RHD)/GM12787-p65-ChIP-Seq(GSE19485)/Homer	RELA
TINY(AP2EREBP)/col-TINY-DAP-Seq(GSE60143)/Homer	TINY
ERG(ETS)/VCaP-ERG-ChIP-Seq(GSE14097)/Homer	ERG
PU.1(ETS)/ThioMac-PU.1-ChIP-Seq(GSE21512)/Homer	SPI1
CBF1(AP2EREBP)/colamp-CBF1-DAP-Seq(GSE60143)/Homer	CBF1
RAP212(AP2EREBP)/col-RAP212-DAP-Seq(GSE60143)/Homer	RAP212
MYB74(MYB)/colamp-MYB74-DAP-Seq(GSE60143)/Homer	MYB74
Slug(Zf)/Mesoderm-Snai2-ChIP-Seq(GSE61475)/Homer	SNAI2
AT4G18450(AP2EREBP)/col-AT4G18450-DAP-Seq(GSE60143)/Homer	AT4G18450
bHLH80(bHLH)/col-bHLH80-DAP-Seq(GSE60143)/Homer	bHLH80
PIF5ox(bHLH)/Arabidopsis-PIF5ox-ChIP-Seq(GSE35062)/Homer	PIF5ox
ABF2(bZIP)/col-ABF2-DAP-Seq(GSE60143)/Homer	ABF2
ZNF768(Zf)/Rajj-ZNF768-ChIP-Seq(GSE111879)/Homer	ZNF768
E2A(bHLH),near_PU.1/Bcell-PU.1-ChIP-Seq(GSE21512)/Homer	TCF3
Zfp281(Zf)/ES-Zfp281-ChIP-Seq(GSE81042)/Homer	ZFP281
BATF(bZIP)/Th17-BATF-ChIP-Seq(GSE39756)/Homer	BATF
bZIP53(bZIP)/colamp-bZIP53-DAP-Seq(GSE60143)/Homer	bZIP53
RUNX2(Runt)/PCa-RUNX2-ChIP-Seq(GSE33889)/Homer	RUNX2
ZNF317(Zf)/HEK293-ZNF317.GFP-ChIP-Seq(GSE58341)/Homer	ZNF317
Foxa2(Forkhead)/Liver-Foxa2-ChIP-Seq(GSE25694)/Homer	FOXA2
E-box/Drosophila-Promoters/Homer	E-box/Drosophila-Promoters/Homer
GATA3(Zf),DR8/iTreg-Gata3-ChIP-Seq(GSE20898)/Homer	GATA3
Pho2(bHLH)/Yeast-Pho2-ChIP-Seq(GSE29506)/Homer	Pho2
Replumless(BLH)/Arabidopsis-RPL.GFP-ChIP-Seq(GSE78727)/Homer	Replumless
Max(bHLH)/K562-Max-ChIP-Seq(GSE31477)/Homer	MAX
Tcfcp2l1(CP2)/mES-Tcfcp2l1-ChIP-Seq(GSE11431)/Homer	TCFC2L1
BZR1(BZR)/col-BZR1-DAP-Seq(GSE60143)/Homer	BZR1
MYB17(MYB)/colamp-MYB17-DAP-Seq(GSE60143)/Homer	MYB17
CELF2(RRM)/JSL1-CELF2-CLIP-Seq(GSE71264)/Homer	CELF2
Ptf1a(bHLH)/Panc1-Ptf1a-ChIP-Seq(GSE47459)/Homer	PTF1A
Atf1(bZIP)/K562-ATF1-ChIP-Seq(GSE31477)/Homer	ATF1
GATA1(C2C2gata)/colamp-GATA1-DAP-Seq(GSE60143)/Homer	GATA1
SeqBias: polyC-repeat	SeqBias
GATA15(C2C2gata)/col-GATA15-DAP-Seq(GSE60143)/Homer	GATA15
SeqBias: A/T bias	SeqBias: A/T bias
PQM-1(?)/cElegans-L3-ChIP-Seq(modEncode)/Homer	PQM-1
Fosl2(bZIP)/3T3L1-Fosl2-ChIP-Seq(GSE56872)/Homer	FOSL2
WRKY47(WRKY)/colamp-WRKY47-DAP-Seq(GSE60143)/Homer	WRKY47
ETS1(ETS)/Jurkat-ETS1-ChIP-Seq(GSE17954)/Homer	ETS1
AT2G40260(G2like)/colamp-AT2G40260-DAP-Seq(GSE60143)/Homer	AT2G40260
ERF104(AP2EREBP)/col-ERF104-DAP-Seq(GSE60143)/Homer	ERF104
HSFA6A(HSF)/col-HSFA6A-DAP-Seq(GSE60143)/Homer	HSFA6A
At4g32800(AP2EREBP)/colamp-At4g32800-DAP-Seq(GSE60143)/Homer	At4g32800
ERF4(AP2EREBP)/colamp-ERF4-DAP-Seq(GSE60143)/Homer	ERF4
Cux2(Homeobox)/Liver-Cux2-ChIP-Seq(GSE35985)/Homer	CUX2
ZBTB9(Zf)/HEK293T-ZBTB9-ChIP-Seq(GSE251687)/Homer	ZBTB9
FOXK1(Forkhead)/HEK293-FOXK1-ChIP-Seq(GSE51673)/Homer	FOXK1
p53(p53)/Saos-p53-ChIP-Seq(GSE15780)/Homer	TP53
p53(p53)/Saos-p53-ChIP-Seq/Homer	TP53
ZNF189(Zf)/HEK293-ZNF189.GFP-ChIP-Seq(GSE58341)/Homer	ZNF189
GATA11(C2C2gata)/col-GATA11-DAP-Seq(GSE60143)/Homer	GATA11
caudal(Homeobox)/Drosophila-Embryos-ChIP-Chip(modEncode)/Homer	caudal
ZNF410(Zf)/CD34-ZNF410-ChIP-Seq(GSE154960)/Homer	ZNF410
Gli3(Zf)/E11.5-Gli3-ChIP-Chip(GSE151646)/Homer	GLI3
PU.1:IRF8(ETS:IRF)/pDC-Irf8-ChIP-Seq(GSE66899)/Homer	IRF8
ERF8(AP2EREBP)/colamp-ERF8-DAP-Seq(GSE60143)/Homer	ERF8
EWS:ERG-fusion(ETS)/CADO_ES1-EWS:ERG-ChIP-Seq(SRA014231)/Homer	EWS-ERG fusion
Pitx1:Ebox(Homeobox,bHLH)/Hindlimb-Pitx1-ChIP-Seq(GSE41591)/Homer	PITX1
FOXP1(Forkhead)/H9-FOXP1-ChIP-Seq(GSE31006)/Homer	FOXP1
Sox21(HMG)/ESC-SOX21-ChIP-Seq(GSE110505)/Homer	SOX21
SeqBias: GCW-triplet	SeqBias: GCW-triplet
ERF3(AP2EREBP)/colamp-ERF3-DAP-Seq(GSE60143)/Homer	ERF3
At2g45680(TCP)/colamp-At2g45680-DAP-Seq(GSE60143)/Homer	At2g45680
CBF4(AP2EREBP)/colamp-CBF4-DAP-Seq(GSE60143)/Homer	CBF4
Twist2(bHLH)/Myoblast-Twist2.Ty1-ChIP-Seq(GSE127998)/Homer	TWIST2
Snail1(Zf)/LS174T-SNAIL1.HA-ChIP-Seq(GSE127183)/Homer	SNAI1
AT2G31460(REMB3)/col-AT2G31460-DAP-Seq(GSE60143)/Homer	AT2G31460
ANAC042(NAC)/col-ANAC042-DAP-Seq(GSE60143)/Homer	ANAC042
CAMTA1(CAMTA)/col-CAMTA1-DAP-Seq(GSE60143)/Homer	CAMTA1
ERF15(AP2EREBP)/colamp-ERF15-DAP-Seq(GSE60143)/Homer	ERF15
ANAC038(NAC)/col-ANAC038-DAP-Seq(GSE60143)/Homer	ANAC038
ERF1(AP2EREBP)/colamp-ERF1-DAP-Seq(GSE60143)/Homer	ERF1
Brn2(POU,Homeobox)/NPC-Brn2-ChIP-Seq(GSE35496)/Homer	POU3F2
ATHB40(HB)/col-ATHB40-DAP-Seq(GSE60143)/Homer	ATHB40
Reverb(NR),DR2/RAW-Reverba.biotin-ChIP-Seq(GSE45914)/Homer	NR1D1
GAGA-repeat/SacCer-Promoters/Homer	GAGA-repeat/SacCer-Promoters/Homer
GATA4(C2C2gata)/col-GATA4-DAP-Seq(GSE60143)/Homer	GATA4
Tcf4(HMG)/Hct116-Tcf4-ChIP-Seq(SRA012054)/Homer	Tcf4
FOXK2(Forkhead)/U2OS-FOXK2-ChIP-Seq(E-MTAB-2204)/Homer	FOXK2
HAP3(CCAATHAP3)/col-HAP3-DAP-Seq(GSE60143)/Homer	HAP3
At5g08520(MYBrelated)/colamp-At5g08520-DAP-Seq(GSE60143)/Homer	At5g08520
MafB(bZIP)/BMM-Mafb-ChIP-Seq(GSE75722)/Homer	MAFB
MNT(bHLH)/HepG2-MNT-ChIP-Seq(Encode)/Homer	MNT
ATHB5(HB)/colamp-ATHB5-DAP-Seq(GSE60143)/Homer	ATHB5
cTATA(CPE)	cTATA
ZBTB38(Zf)/Hela-ZBTB38-ChIP-seq(GSE108618)/Homer	ZBTB38
PAX5(Paired,Homeobox)/GM12878-PAX5-ChIP-Seq(GSE32465)/Homer	PAX5
Oct11(POU,Homeobox)/NCIH1048-POU2F3-ChIP-seq(GSE115123)/Homer	POU2F3
MYB3(MYB)/Arabidopsis-MYB3-ChIP-Seq(GSE80564)/Homer	MYB3
ERF2(AP2EREBP)/colamp-ERF2-DAP-Seq(GSE60143)/Homer	ERF2
SPL15(SBP)/colamp-SPL15-DAP-Seq(GSE60143)/Homer	SPL15
TAGL1(MADS)/Tomato-TAGL1-ChIP-Seq(GSE116581)/Homer	TAGL1
CEBP:CEBP(bZIP)/MEF-Chop-ChIP-Seq(GSE35681)/Homer	CEBPB
BAM8(BES1)/col-BAM8-DAP-Seq(GSE60143)/Homer	BAM8
Atf4(bZIP)/MEF-Atf4-ChIP-Seq(GSE35681)/Homer	ATF4
NPAS2(bHLH)/Liver-NPAS2-ChIP-Seq(GSE39860)/Homer	NPAS2
Tbx5(T-box)/HL1-Tbx5.biotin-ChIP-Seq(GSE21529)/Homer	TBX5
Atoh7(bHLH)/Retina-Atoh7-CutnRun(GSE156756)/Homer	ATOH7
SOX1(HMG)/NPC-SOX1-ChIP-Seq(GSE138215)/Homer	SOX1
Nkx2.5(Homeobox)/HL1-Nkx2.5.biotin-ChIP-Seq(GSE21529)/Homer	NKX2-5
Unknown4/Arabidopsis-Promoters/Homer	Unknown4/Arabidopsis-Promoters
JunB(bZIP)/DendriticCells-Junb-ChIP-Seq(GSE36099)/Homer	JUNB
GBF3(bZIP)/Arabidopsis-GBF3-ChIP-Seq(GSE80564)/Homer	GBF3
bHLH157(bHLH)/col-bHLH157-DAP-Seq(GSE60143)/Homer	bHLH157
EIL4(EIL)/Tomato-EIL4-ChIP-Seq(GSE116581)/Homer	EIL4
PHV(HB)/col-PHV-DAP-Seq(GSE60143)/Homer	PHV
Lola-I(Zf)/Embryo-LolaI-ChIP-Seq(GSE200870)/Homer	Lola-I
bZIP18(bZIP)/colamp-bZIP18-DAP-Seq(GSE60143)/Homer	bZIP18
AT5G25475(ABI3VP1)/col-AT5G25475-DAP-Seq(GSE60143)/Homer	AT5G25475
Atf2(bZIP)/3T3L1-Atf2-ChIP-Seq(GSE56872)/Homer	ATF2
Oct4:Sox17(POU,Homeobox,HMG)/F9-Sox17-ChIP-Seq(GSE44553)/Homer	SOX17
HDG1(Homeobox)/col100-HDG1-DAP-Seq(GSE60143)/Homer	HDG1
bHLH74(bHLH)/col-bHLH74-DAP-Seq(GSE60143)/Homer	bHLH74
NeuroG2(bHLH)/Fibroblast-NeuroG2-ChIP-Seq(GSE75910)/Homer	NEUROG2
MYB77(MYB)/col-MYB77-DAP-Seq(GSE60143)/Homer	MYB77
Knotted(Homeobox)/Corn-KN1-ChIP-Seq(GSE39161)/Homer	Knotted
NRF(NRF)/Promoter/Homer	NRF
MYB70(MYB)/col-MYB70-DAP-Seq(GSE60143)/Homer	MYB70
MYB121(MYB)/col-MYB121-DAP-Seq(GSE60143)/Homer	MYB121
Ets1-distal(ETS)/CD4+-PolII-ChIP-Seq(Barski_et_al.)/Homer	ETS1
WRKY42(WRKY)/colamp-WRKY42-DAP-Seq(GSE60143)/Homer	WRKY42
ZNF382(Zf)/HEK293-ZNF382.GFP-ChIP-Seq(GSE58341)/Homer	ZNF382
PHA-4(Forkhead)/cElegans-Embryos-PHA4-ChIP-Seq(modEncode)/Homer	PHA-4
MYB118(MYB)/colamp-MYB118-DAP-Seq(GSE60143)/Homer	MYB118
Sox2(HMG)/mES-Sox2-ChIP-Seq(GSE11431)/Homer	SOX2
Pax7(Paired,Homeobox),longest/Myoblast-Pax7-ChIP-Seq(GSE25064)/Homer	PAX7
c-Myc(bHLH)/mES-cMyc-ChIP-Seq(GSE11431)/Homer	MYC
Fli1(ETS)/CD8-FLI-ChIP-Seq(GSE20898)/Homer	FLI1
ZNF264(Zf)/HEK293-ZNF264.GFP-ChIP-Seq(GSE58341)/Homer	ZNF264
Inr	Inr
At1g36060(AP2EREBP)/colamp-At1g36060-DAP-Seq(GSE60143)/Homer	At1g36060
MyoD(bHLH)/Myotube-MyoD-ChIP-Seq(GSE21614)/Homer	MYOD1
BIM1(bHLH)/colamp-BIM1-DAP-Seq(GSE60143)/Homer	BIM1
MRE(NR)/Neuro2A-NR3C2-ChIPnexus(GSE115417)/Homer	NR3C2
Ronin(THAP)/ES-Thap11-ChIP-Seq(GSE51522)/Homer	THAP11
At1g75490(AP2EREBP)/colamp-At1g75490-DAP-Seq(GSE60143)/Homer	At1g75490
Hnf1(Homeobox)/Liver-Foxa2-Chip-Seq(GSE25694)/Homer	HNF1
DAG2(C2C2dof)/col-DAG2-DAP-Seq(GSE60143)/Homer	DAG2
hINR(CPE)	hINR
ETV1(ETS)/GIST48-ETV1-ChIP-Seq(GSE22441)/Homer	ETV1
ATY19(MYB)/col-ATY19-DAP-Seq(GSE60143)/Homer	ATY19
CCA(Myb)/Arabidopsis-CCA.GFP-ChIP-Seq(GSE70533)/Homer	CCA
RUNX1(Runt)/Jurkat-RUNX1-ChIP-Seq(GSE29180)/Homer	RUNX1
Pho4(bHLH)/Yeast-Pho4-ChIP-Seq(GSE29506)/Homer	Pho4
LBD18(LOBAS2)/colamp-LBD18-DAP-Seq(GSE60143)/Homer	LBD18
WRKY26(WRKY)/colamp-WRKY26-DAP-Seq(GSE60143)/Homer	WRKY26
Nrf2(bZIP)/Lymphoblast-Nrf2-ChIP-Seq(GSE37589)/Homer	NFE2L2
KLF6(Zf)/PDAC-KLF6-ChIP-Seq(GSE64557)/Homer	KLF6
AREB3(bZIP)/col-AREB3-DAP-Seq(GSE60143)/Homer	AREB3
ERF9(AP2EREBP)/colamp-ERF9-DAP-Seq(GSE60143)/Homer	ERF9
AP-1(bZIP)/ThioMac-PU.1-ChIP-Seq(GSE21512)/Homer	AP-1
Sox4(HMG)/proB-Sox4-ChIP-Seq(GSE50066)/Homer	SOX4
At5g05790(MYBrelated)/col-At5g05790-DAP-Seq(GSE60143)/Homer	At5g05790
HNF1b(Homeobox)/PDAC-HNF1B-ChIP-Seq(GSE64557)/Homer	HNF1B
Gata2(Zf)/K562-GATA2-ChIP-Seq(GSE18829)/Homer	GATA2
ATAF1(NAC)/col-ATAF1-DAP-Seq(GSE60143)/Homer	ATAF1
YY1(Zf)/Promoter/Homer	YY1
BMAL1(bHLH)/Liver-Bmal1-ChIP-Seq(GSE39860)/Homer	ARNTL
GBF6(bZIP)/colamp-GBF6-DAP-Seq(GSE60143)/Homer	GBF6
Fox:Ebox(Forkhead,bHLH)/Panc1-Foxa2-ChIP-Seq(GSE47459)/Homer	FOXA2
ETS:RUNX(ETS,Runt)/Jurkat-RUNX1-ChIP-Seq(GSE17954)/Homer	RUNX1
